谱写,pu3 xie3,to compose (a piece of music)
钢琴,gang1 qin2,piano
幽静,you1 jing4,quiet
断断续续,duan4 duan4 xu4 xu4,intermittent
茅屋,mao2 wu1,thatched cottage
失明,shi1 ming2,to lose one's eyesight
纯熟,chun2 shu2,skillful
清幽,qing1 you1,(of a location) quiet and secluded
琴键,qin2 jian4,a piano key
景象,jing3 xiang4,scene
陶醉,tao2 zui4,to be infatuated with
