寸草不生,cun4 cao3 bu4 sheng1,lit. not even a blade of grass grows (idiom)
摄氏度,She4 shi4 du4,°C (degrees Celsius)
繁殖,fan2 zhi2,to breed
粮食,liang2 shi5,foodstuff
煤炭,mei2 tan4,coal
漂浮,piao1 fu2,to float
地区,di4 qu1,local
杀菌,sha1 jun1,to kill germs
治疗,zhi4 liao2,to treat (an illness)
