纵横,zong4 heng2,lit. warp and weft in weaving
船艄,chuan2 shao1,stern of boat
垫子,dian4 zi5,cushion
窗帘,chuang1 lian2,window curtains
操纵,cao1 zong4,to operate
手忙脚乱,shou3 mang2 jiao3 luan4,to act with confusion
保姆,bao3 mu3,nanny
簇拥,cu4 yong1,to crowd around
沉寂,chen2 ji4,silence
停泊,ting2 bo2,to anchor
码头,ma3 tou2,dock
笼罩,long3 zhao4,to envelop
