严肃,"yánsù          ",serious - of a person
清晰,qīngxī,clear - e.g. view
抱负,bàofù,ambition
胸怀,"xiōnghuái ",mind
赞叹,zàntàn,to admire
表情,biǎoqíng,expression
忘怀,"wànghuái ",to forget
果真,guǒzhēn,really
非凡,fēifán,extraordinary
左顾右盼,zuǒgù yòupàn,to glance right and left
指望,zhǐwàng,to count on
训斥,xùnchì,to rebuke
体会,"tǐhuì ",experience
分量,"fènliàng ",portion - of a meal etc.
响亮,xiǎngliàng,loud
